name, memory.used [MiB], memory.free [MiB]
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 0 MiB, 32500 MiB
Tesla V100-SXM2-32GB, 409 MiB, 32091 MiB
Tesla V100-SXM2-32GB, 595 MiB, 31905 MiB
Tesla V100-SXM2-32GB, 1023 MiB, 31477 MiB
Tesla V100-SXM2-32GB, 1023 MiB, 31477 MiB
Tesla V100-SXM2-32GB, 1023 MiB, 31477 MiB
Tesla V100-SXM2-32GB, 1023 MiB, 31477 MiB
Tesla V100-SXM2-32GB, 1023 MiB, 31477 MiB
