name, memory.used [MiB], memory.free [MiB]
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
NVIDIA A100-SXM4-80GB, 0 MiB, 81052 MiB
